                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.95695,                0.51823,                 1.0447,                 1.0374,                0.48124,                 1.0355,                0.93125,                0.93528,                 0.9747,                0.69954,                0.97591,                0.46634,                 1.0834,                 1.0148,                0.40644,                 1.0535,              0.0007922,              0.0007922,              0.0007922
                     64,                0.94591,                0.51811,                 1.0382,                 1.0213,                0.49871,                 1.0284,                0.94762,                0.92381,                0.97091,                0.67179,                 1.0312,                0.47713,                 1.1315,                 1.0676,                0.42937,                 1.0995,              0.0007724,              0.0007724,              0.0007724
                     65,                0.96413,                  0.528,                  1.046,                  1.051,                0.51098,                 1.0381,                0.93986,                0.92857,                0.97071,                0.68351,                 0.9987,                0.47812,                 1.1041,                 1.0363,                0.42959,                 1.0676,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.9397,                0.51431,                 1.0438,                 1.0175,                0.49098,                 1.0311,                0.93979,                0.92915,                0.97729,                0.68857,                 1.0106,                0.47546,                 1.1042,                 1.0631,                0.39736,                 1.0769,              0.0007328,              0.0007328,              0.0007328
                     67,                0.93995,                0.51094,                 1.0269,                 1.0213,                0.47964,                 1.0205,                0.94512,                0.94048,                0.97619,                0.70555,                0.96883,                0.46342,                 1.0983,                 1.0034,                0.38672,                 1.0719,               0.000713,               0.000713,               0.000713
                     68,                0.91397,                 0.5046,                 1.0174,                 1.0004,                0.46585,                 1.0178,                0.95145,                0.93328,                0.97631,                0.71176,                0.93561,                0.46617,                 1.0512,                0.96884,                0.37981,                 1.0366,              0.0006932,              0.0006932,              0.0006932
                     69,                0.91353,                0.49622,                 1.0267,                 1.0041,                0.47555,                 1.0254,                 0.9436,                0.95604,                0.97696,                0.69571,                0.98914,                0.46432,                 1.0897,                 1.0153,                 0.4091,                  1.066,              0.0006734,              0.0006734,              0.0006734
                     70,                0.90339,                0.50034,                  1.018,                0.98685,                0.47598,                 1.0169,                0.94086,                0.94692,                0.97606,                0.70114,                0.97676,                 0.4636,                 1.0992,                 1.0198,                0.38907,                 1.0847,              0.0006536,              0.0006536,              0.0006536
                     71,                0.89754,                0.48584,                 1.0215,                0.98246,                0.45952,                 1.0099,                0.93877,                0.94524,                0.97478,                0.69366,                0.97269,                0.45821,                   1.09,                 1.0136,                0.39833,                 1.0592,              0.0006338,              0.0006338,              0.0006338
                     72,                0.90272,                0.49688,                 1.0216,                0.98897,                0.46928,                 1.0152,                0.91969,                0.95428,                0.97518,                 0.7065,                0.96041,                 0.4539,                 1.0736,                0.99751,                0.39097,                 1.0544,               0.000614,               0.000614,               0.000614
                     73,                0.88722,                0.49374,                 1.0156,                0.96669,                0.46645,                 1.0114,                0.93865,                0.94706,                0.98025,                0.70672,                0.98447,                0.46052,                 1.0985,                 1.0059,                0.38156,                 1.0698,              0.0005942,              0.0005942,              0.0005942
                     74,                0.88066,                0.48851,                 1.0142,                0.95336,                 0.4551,                 1.0156,                0.95196,                0.94362,                0.98008,                0.70658,                0.94862,                0.44511,                 1.0871,                0.97617,                0.37429,                 1.0594,              0.0005744,              0.0005744,              0.0005744
                     75,                0.87228,                 0.4859,                 1.0037,                0.95076,                  0.463,                 1.0048,                0.95176,                 0.9396,                0.97623,                0.71983,                 0.9363,                0.45495,                 1.0715,                0.97374,                0.37139,                 1.0637,              0.0005546,              0.0005546,              0.0005546
                     76,                0.87368,                0.48224,                 1.0116,                0.95789,                0.45308,                 1.0112,                0.91253,                0.94762,                 0.9748,                0.70881,                0.94969,                0.45149,                 1.0767,                   0.98,                0.37801,                 1.0583,              0.0005348,              0.0005348,              0.0005348
                     77,                0.87379,                0.47724,                 1.0086,                0.94618,                0.44638,                 1.0062,                0.93474,                0.94286,                0.97668,                0.70919,                0.93829,                0.44744,                 1.0809,                0.98062,                0.37385,                 1.0647,               0.000515,               0.000515,               0.000515
                     78,                0.86892,                0.49133,                 1.0131,                0.93921,                0.46843,                 1.0162,                0.94029,                0.93739,                0.97953,                0.71866,                0.94128,                 0.4511,                 1.0847,                0.96774,                0.37223,                 1.0618,              0.0004952,              0.0004952,              0.0004952
                     79,                0.85852,                0.48318,                0.99866,                0.94175,                0.46872,                0.99894,                0.96944,                0.92381,                0.97961,                0.71761,                0.93379,                0.44442,                 1.0635,                0.97514,                0.36239,                 1.0539,              0.0004754,              0.0004754,              0.0004754
                     80,                 0.8574,                0.47092,                0.99831,                 0.9356,                0.44492,                0.99416,                0.95209,                0.94624,                0.98014,                0.71228,                0.93644,                0.44258,                 1.0712,                0.98803,                0.36246,                  1.055,              0.0004556,              0.0004556,              0.0004556
                     81,                0.84257,                0.46478,                 0.9862,                0.92364,                0.43317,                0.98711,                0.96137,                0.94818,                0.98154,                0.72546,                0.92363,                0.43139,                 1.0559,                0.96389,                0.33371,                 1.0362,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.8435,                0.45945,                0.99774,                0.91309,                0.43098,                0.99362,                0.96083,                0.93459,                0.98108,                0.71991,                 0.9172,                0.42938,                 1.0606,                0.95805,                0.36062,                 1.0421,               0.000416,               0.000416,               0.000416
                     83,                0.84644,                0.46987,                0.99993,                0.91602,                0.44467,                 1.0021,                 0.9476,                0.94726,                0.98207,                0.72868,                0.92008,                 0.4292,                 1.0496,                0.94046,                0.36306,                 1.0237,              0.0003962,              0.0003962,              0.0003962
                     84,                0.83916,                0.45843,                0.98985,                0.91362,                0.42711,                0.98624,                 0.9657,                 0.9381,                0.98571,                 0.7258,                0.91507,                0.42497,                 1.0443,                0.95474,                0.35164,                 1.0286,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.8278,                0.46691,                0.98787,                0.90761,                0.43019,                0.99291,                0.95905,                0.94793,                 0.9856,                0.73632,                0.88574,                0.41728,                 1.0406,                0.92577,                0.33864,                 1.0159,              0.0003566,              0.0003566,              0.0003566
